Target_Ticker,Target_Name,Candidate_Ticker,Candidate_Name,Distance
AAL,"American Airlines Group, Inc. - Common Stock",AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),1
AAL,"American Airlines Group, Inc. - Common Stock",AXL,"American Axle & Manufacturing Holdings, Inc. Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",CAL,"Caleres, Inc. Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",DAL,"Delta Air Lines, Inc. Common Stock",1
AAL,"American Airlines Group, Inc. - Common Stock",GAL,State Street Global Allocation ETF,1
AAL,"American Airlines Group, Inc. - Common Stock",HAL,Halliburton Company Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",RAL,Ralliant Corporation Common Stock,1
AAL,"American Airlines Group, Inc. - Common Stock",TAL,TAL Education Group American Depositary Shares,1
AAL,"American Airlines Group, Inc. - Common Stock",VAL,Valaris Limited Common Shares,1
AAL,"American Airlines Group, Inc. - Common Stock",WAL,Western Alliance Bancorporation Common Stock (DE),1
OPEN,Opendoor Technologies Inc  - Common Stock,OGEN,Oragenics Inc. Common Stock,1
OPEN,Opendoor Technologies Inc  - Common Stock,PEN,"Penumbra, Inc. Common Stock",1
TSLS,Direxion Daily TSLA Bear 1X Shares,SLS,"SELLAS Life Sciences Group, Inc.  - Common Stock",1
TSLS,Direxion Daily TSLA Bear 1X Shares,TLS,Telos Corporation - Common Stock,1
TSLS,Direxion Daily TSLA Bear 1X Shares,TPLS,Thornburg Core Plus Bond ETF,1
TSLS,Direxion Daily TSLA Bear 1X Shares,TSLA,"Tesla, Inc.  - Common Stock",1
TSLS,Direxion Daily TSLA Bear 1X Shares,TGLS,Tecnoglass Inc. Ordinary Shares,1
TSLS,Direxion Daily TSLA Bear 1X Shares,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",1
IBIT,iShares Bitcoin Trust ETF,IBIO,"iBio, Inc. - Common Stock",1
IBIT,iShares Bitcoin Trust ETF,ILIT,iShares Lithium Miners and Producers ETF,1
IBIT,iShares Bitcoin Trust ETF,XBIT,XBiotech Inc. - Common Stock,1
IBIT,iShares Bitcoin Trust ETF,BIT,BlackRock Multi-Sector Income Trust Common Shares of Beneficial Interest,1
IBIT,iShares Bitcoin Trust ETF,EBIT,Harbor AlphaEdge Small Cap Earners ETF,1
IBIT,iShares Bitcoin Trust ETF,SBIT,ProShares UltraShort Bitcoin ETF,1
IBIT,iShares Bitcoin Trust ETF,YBIT,YieldMax Bitcoin Option Income Strategy ETF,1
RIVN,"Rivian Automotive, Inc. - Class A Common Stock",FIVN,"Five9, Inc. - Common Stock",1
RIVN,"Rivian Automotive, Inc. - Class A Common Stock",LIVN,LivaNova PLC - Ordinary Shares,1
RIVN,"Rivian Automotive, Inc. - Class A Common Stock",DIVN,Horizon Dividend Income ETF,1
QQQ,"Invesco QQQ Trust, Series 1",GQQQ,Astoria US Quality Growth Kings ETF,1
QQQ,"Invesco QQQ Trust, Series 1",IQQQ,ProShares Nasdaq-100 High Income ETF,1
QQQ,"Invesco QQQ Trust, Series 1",KQQQ,Kurv Technology Titans Select ETF,1
QQQ,"Invesco QQQ Trust, Series 1",MQQQ,Tradr 2X Long Innovation 100 Monthly ETF,1
QQQ,"Invesco QQQ Trust, Series 1",QXQ,SGI Enhanced Nasdaq-100 ETF,1
QQQ,"Invesco QQQ Trust, Series 1",YQQQ,YieldMax Short N100 Option Income Strategy ETF,1
QQQ,"Invesco QQQ Trust, Series 1",CQQQ,Invesco China Technology ETF,1
TRIB,Trinity Biotech plc - American Depositary Shares,TRIN,Trinity Capital Inc. - Common Stock,1
TRIB,Trinity Biotech plc - American Depositary Shares,TRIP,"TripAdvisor, Inc. - Common Stock",1
TRIB,Trinity Biotech plc - American Depositary Shares,TRMB,Trimble Inc. - Common Stock,1
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),BANF,BancFirst Corporation - Common Stock,1
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),CINF,Cincinnati Financial Corporation - Common Stock,1
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),ANF,Abercrombie & Fitch Company Common Stock,1
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),CNF,"CNFinance Holdings Limited American Depositary Shares, each representing two hundred (200) Ordinary Shares",1
NFLX,"Netflix, Inc. - Common Stock",FLX,BingEx Limited - American Depositary Shares,1
NFLX,"Netflix, Inc. - Common Stock",MFLX,First Trust Flexible Municipal High Income ETF,1
NFLX,"Netflix, Inc. - Common Stock",OFLX,"Omega Flex, Inc. - Common Stock",1
